Crimea	クリミア半島(旧ソ連ウクライナ共和国の一地方)
cachou	口中芳香錠(薬)
cackle	〈U〉〈C〉クワックワッ,ガアガア(めんどりが卵を産んだときの鳴き声) / 〈U〉〈C〉かん高い笑い声 / 〈U〉おしゃべり,ばか話 / 〈めんどりが〉(卵を産んだあと)クワックワッと鳴く / 〈人が〉かん高い声で笑う / 〈人が〉ぺちゃぺちゃしゃべる
cackler	おしゃべり
cacophonous	不協和音の;(音調が悪くて)耳ざわりな
cacophony	耳ざわりな音,不協和音
cactus	サボテン
cad	きたないやつ
cadaver	死体(特に解剖・研究用の人間の死体)
cadaverous	死体(死人)のような,青ざめてやせこけた
caddie	(ゴルフの)キャディー / キャディーとして働く
caddish	下品な,卑劣な,紳士らしくない(特に女性に対して失礼な男性の態度)
caddy	(特に茶を入れる)小箱,小型容器;小物入れ / =caddie
cadence	(音の)律動(rhythm),(詩の)韻律 / (律動的な動きを持っている)拍子,速さ / (会話の文の最後につける)抑揚 / カデンツ(楽曲・楽章・楽句などを終結させる一連の音または和音)
cadenza	カデンツァ(楽曲の中で,独奏(唱)者が伴奏を離れて独自に演奏する華やで技巧的な部分)
cadet	士官学校生徒,士官候補生 / (一般職の)見習 / 次男以下の息子
cadge	…をねだる,せびり取る / ねだる,せびる / 物乞い,ねだり
cadger	こじき,たかりや
cadi	(イスラム教国の)裁判官
cadmium	カドミウム(金属元素;化学記号は『Cd』)
cadre	(組織の中核をなす)幹部集団,中核グループ
caduceus	(ギリシア神話の)ヘルメス(Hermes)のつえ(2匹のヘビが往きついて頂上に双翼がある;平和と医術の象徴とされる)
caecum	=cecum
caesium	=cesium
caesura	中間休止(詩行の中間で意味の切れによる休止)
cafe	〈C〉『喫茶店』(coffeehouse),小レストラン;《英》(酒類を出さない)『軽食堂』 / 〈C〉バー,キャバレー,ナイトクラブ
cafe au lait	カフェオーレ(熱いコーヒーに同量の熱い牛乳を入れたもの)
cafeteria	『カフェテリア』(セルフサービスの簡易食堂)
caffeine, caffein	カフェイン(コーヒー・茶に含まれている刺激性物質)
caftan	カフタン(トルコ人などが着る長そでで,時に帯のついた衣服)
cage	『鳥かご』;(動物の)『おり』 / 鳥かご(おり)のような物;エレベーターの箱 / 野球の打撃練習用の移動バックネット / 獄舎 / …をかご(おり)に入れる
cageling	かごの鳥
cager	バスケットボール選手
cagey, cagy	用心深い,打ち解けない
cagily	用心深く,抜け目なく
caginess	用心深さ,慎重さ,抜け目のなさ
cahoot	共謀
caiman	カイマンワニ(中南米産のワニ)
